lead_id,first_name,last_name,email,source,status,created_at
L1000,Daniel,Figueroa,jeffreydoyle@example.net,Email Marketing,New,2026-03-30 03:19:22
L1001,Patricia,Miller,fjohnson@example.org,Google Ads,Closed-Lost,2026-04-08 23:13:53
L1002,William,Johnson,jennifermiles@example.com,LinkedIn Ads,Contacted,2026-02-18 15:29:23
L1003,Shane,Ramirez,blakeerik@example.com,Facebook Ads,Contacted,2026-02-17 11:00:51
L1004,Joshua,Lewis,curtis61@example.com,Email Marketing,New,2026-03-01 02:11:30
L1005,Maurice,Baker,blairamanda@example.com,Email Marketing,Closed-Lost,2026-04-19 08:09:20
L1006,Andrea,Calderon,barbara10@example.net,Direct,New,2026-02-03 16:58:05
L1007,Kendra,Galloway,michellejames@example.com,Direct,Nurturing,2026-02-18 04:23:31
L1008,Mary,Martin,jason41@example.net,Google Ads,New,2026-03-29 18:36:09
L1009,George,Daniel,stevennelson@example.net,Google Ads,Contacted,2026-03-29 16:57:25
L1010,Angela,Cohen,perezantonio@example.com,Facebook Ads,Closed-Won,2026-04-03 20:53:02
L1011,Joseph,Clark,jason76@example.net,Direct,New,2026-03-07 00:07:56
L1012,Douglas,Taylor,julie69@example.com,Direct,Contacted,2026-03-12 14:33:10
L1013,Jeffrey,Bright,ddavis@example.org,Email Marketing,Closed-Lost,2026-03-03 04:51:48
L1014,Courtney,Conner,ycarlson@example.com,Email Marketing,Closed-Won,2026-02-10 21:29:47
L1015,Wendy,Rice,frazierdanny@example.net,Organic Search,Contacted,2026-03-25 21:52:16
L1016,Joseph,Davidson,cartereric@example.org,Organic Search,Closed-Won,2026-04-09 23:01:21
L1017,Nancy,Baker,williamrodriguez@example.net,LinkedIn Ads,New,2026-04-07 03:56:49
L1018,Meagan,Romero,ericfarmer@example.net,Referral,Contacted,2026-02-25 00:46:38
L1019,Sandra,Sellers,tracy15@example.com,Email Marketing,Nurturing,2026-04-12 15:40:54
L1020,Brian,Humphrey,millertodd@example.org,LinkedIn Ads,Qualified,2026-02-19 07:18:53
L1021,Amanda,Martinez,karroyo@example.com,Facebook Ads,Contacted,2026-04-10 21:40:55
L1022,Monique,Henderson,sarahcampos@example.net,Referral,Qualified,2026-03-19 06:55:10
L1023,Jennifer,Ross,samuel87@example.org,Google Ads,New,2026-02-15 14:03:59
L1024,Jeffrey,Morgan,briannasmith@example.net,Organic Search,New,2026-02-20 03:00:45
L1025,Brian,Jones,heathchad@example.org,LinkedIn Ads,Qualified,2026-03-29 07:55:37
L1026,Elizabeth,Lewis,jenniferkhan@example.net,Direct,Qualified,2026-02-23 02:14:58
L1027,John,Kennedy,glee@example.net,Referral,New,2026-03-13 22:45:13
